  0%|                                                                                                                                                               | 0/1350 [00:00<?, ?it/s]/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:61: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1652: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                                                                                                                             
{'loss': 4.7223, 'learning_rate': 4.8780487804878055e-06, 'epoch': 0.0}
{'loss': 6.3503, 'learning_rate': 9.756097560975611e-06, 'epoch': 0.01}
{'loss': 5.1931, 'learning_rate': 1.4634146341463415e-05, 'epoch': 0.01}
{'loss': 6.4285, 'learning_rate': 1.9512195121951222e-05, 'epoch': 0.02}
{'loss': 6.4011, 'learning_rate': 2.4390243902439026e-05, 'epoch': 0.02}
{'loss': 5.3375, 'learning_rate': 2.926829268292683e-05, 'epoch': 0.03}
{'loss': 4.8447, 'learning_rate': 3.414634146341464e-05, 'epoch': 0.03}
{'loss': 3.4964, 'learning_rate': 3.9024390243902444e-05, 'epoch': 0.04}
{'loss': 2.2643, 'learning_rate': 4.390243902439025e-05, 'epoch': 0.04}
{'loss': 2.4681, 'learning_rate': 4.878048780487805e-05, 'epoch': 0.04}
{'loss': 2.3245, 'learning_rate': 5.365853658536586e-05, 'epoch': 0.05}
{'loss': 2.8808, 'learning_rate': 5.853658536585366e-05, 'epoch': 0.05}
{'loss': 2.6911, 'learning_rate': 6.341463414634146e-05, 'epoch': 0.06}
{'loss': 3.0197, 'learning_rate': 6.829268292682928e-05, 'epoch': 0.06}
{'loss': 1.707, 'learning_rate': 7.317073170731707e-05, 'epoch': 0.07}
{'loss': 1.3015, 'learning_rate': 7.804878048780489e-05, 'epoch': 0.07}
{'loss': 2.1294, 'learning_rate': 8.292682926829268e-05, 'epoch': 0.08}
{'loss': 1.1819, 'learning_rate': 8.78048780487805e-05, 'epoch': 0.08}
{'loss': 1.4257, 'learning_rate': 9.26829268292683e-05, 'epoch': 0.08}
{'loss': 1.7297, 'learning_rate': 9.75609756097561e-05, 'epoch': 0.09}
{'loss': 1.0142, 'learning_rate': 0.0001024390243902439, 'epoch': 0.09}
{'loss': 1.359, 'learning_rate': 0.00010731707317073172, 'epoch': 0.1}
{'loss': 1.7864, 'learning_rate': 0.00011219512195121953, 'epoch': 0.1}
{'loss': 1.1497, 'learning_rate': 0.00011707317073170732, 'epoch': 0.11}
{'loss': 1.0751, 'learning_rate': 0.00012195121951219512, 'epoch': 0.11}
{'loss': 1.7914, 'learning_rate': 0.00012682926829268293, 'epoch': 0.12}
{'loss': 0.8439, 'learning_rate': 0.00013170731707317076, 'epoch': 0.12}
{'loss': 1.663, 'learning_rate': 0.00013658536585365856, 'epoch': 0.12}
{'loss': 1.4986, 'learning_rate': 0.00014146341463414634, 'epoch': 0.13}
{'loss': 1.5416, 'learning_rate': 0.00014634146341463414, 'epoch': 0.13}
{'loss': 1.0698, 'learning_rate': 0.00015121951219512197, 'epoch': 0.14}
{'loss': 1.4046, 'learning_rate': 0.00015609756097560978, 'epoch': 0.14}
{'loss': 1.8719, 'learning_rate': 0.00016097560975609758, 'epoch': 0.15}
{'loss': 1.2962, 'learning_rate': 0.00016585365853658536, 'epoch': 0.15}
{'loss': 1.2271, 'learning_rate': 0.0001707317073170732, 'epoch': 0.16}
{'loss': 1.7367, 'learning_rate': 0.000175609756097561, 'epoch': 0.16}
{'loss': 1.7263, 'learning_rate': 0.0001804878048780488, 'epoch': 0.16}
{'loss': 0.8157, 'learning_rate': 0.0001853658536585366, 'epoch': 0.17}
{'loss': 1.4029, 'learning_rate': 0.0001902439024390244, 'epoch': 0.17}
{'loss': 0.9104, 'learning_rate': 0.0001951219512195122, 'epoch': 0.18}
{'loss': 0.5902, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.2943, 'learning_rate': 0.0001999997120014852, 'epoch': 0.19}
{'loss': 2.0783, 'learning_rate': 0.00019999884800759956, 'epoch': 0.19}
{'loss': 1.1823, 'learning_rate': 0.00019999740802331974, 'epoch': 0.2}
{'loss': 1.4003, 'learning_rate': 0.00019999539205693996, 'epoch': 0.2}
{'loss': 1.7989, 'learning_rate': 0.00019999280012007213, 'epoch': 0.2}
{'loss': 1.3335, 'learning_rate': 0.00019998963222764575, 'epoch': 0.21}
{'loss': 1.2722, 'learning_rate': 0.00019998588839790777, 'epoch': 0.21}
{'loss': 1.6815, 'learning_rate': 0.00019998156865242255, 'epoch': 0.22}
{'loss': 0.755, 'learning_rate': 0.0001999766730160717, 'epoch': 0.22}
{'loss': 0.9289, 'learning_rate': 0.00019997120151705393, 'epoch': 0.23}
{'loss': 1.2005, 'learning_rate': 0.0001999651541868849, 'epoch': 0.23}
{'loss': 1.6567, 'learning_rate': 0.00019995853106039705, 'epoch': 0.24}
{'loss': 1.3285, 'learning_rate': 0.0001999513321757394, 'epoch': 0.24}
{'loss': 1.6855, 'learning_rate': 0.00019994355757437738, 'epoch': 0.24}
{'loss': 0.9121, 'learning_rate': 0.00019993520730109235, 'epoch': 0.25}
{'loss': 0.4401, 'learning_rate': 0.0001999262814039817, 'epoch': 0.25}
{'loss': 1.0899, 'learning_rate': 0.0001999167799344583, 'epoch': 0.26}
{'loss': 1.0371, 'learning_rate': 0.00019990670294725037, 'epoch': 0.26}
{'loss': 1.4179, 'learning_rate': 0.000199896050500401, 'epoch': 0.27}
{'loss': 1.7115, 'learning_rate': 0.00019988482265526804, 'epoch': 0.27}
{'loss': 2.3229, 'learning_rate': 0.00019987301947652352, 'epoch': 0.28}
{'loss': 2.0083, 'learning_rate': 0.00019986064103215339, 'epoch': 0.28}
{'loss': 1.6412, 'learning_rate': 0.00019984768739345708, 'epoch': 0.28}
{'loss': 1.3283, 'learning_rate': 0.0001998341586350472, 'epoch': 0.29}
{'loss': 1.3579, 'learning_rate': 0.00019982005483484906, 'epoch': 0.29}
{'loss': 1.6322, 'learning_rate': 0.00019980537607410006, 'epoch': 0.3}
{'loss': 1.2877, 'learning_rate': 0.0001997901224373494, 'epoch': 0.3}
{'loss': 2.0112, 'learning_rate': 0.0001997742940124576, 'epoch': 0.31}
{'loss': 1.0518, 'learning_rate': 0.00019975789089059597, 'epoch': 0.31}
{'loss': 0.7943, 'learning_rate': 0.00019974091316624597, 'epoch': 0.32}
{'loss': 1.169, 'learning_rate': 0.00019972336093719876, 'epoch': 0.32}
{'loss': 1.6888, 'learning_rate': 0.00019970523430455468, 'epoch': 0.32}
{'loss': 1.3514, 'learning_rate': 0.00019968653337272261, 'epoch': 0.33}
{'loss': 1.0373, 'learning_rate': 0.00019966725824941932, 'epoch': 0.33}
{'loss': 1.6259, 'learning_rate': 0.000199647409045669, 'epoch': 0.34}
{'loss': 1.3949, 'learning_rate': 0.00019962698587580244, 'epoch': 0.34}
{'loss': 1.6831, 'learning_rate': 0.0001996059888574565, 'epoch': 0.35}
{'loss': 1.0137, 'learning_rate': 0.0001995844181115734, 'epoch': 0.35}
{'loss': 0.9426, 'learning_rate': 0.00019956227376239995, 'epoch': 0.36}
{'loss': 1.8543, 'learning_rate': 0.00019953955593748698, 'epoch': 0.36}
{'loss': 0.8366, 'learning_rate': 0.00019951626476768846, 'epoch': 0.36}
{'loss': 1.1558, 'learning_rate': 0.0001994924003871609, 'epoch': 0.37}
{'loss': 1.411, 'learning_rate': 0.00019946796293336235, 'epoch': 0.37}
{'loss': 0.8336, 'learning_rate': 0.00019944295254705185, 'epoch': 0.38}
{'loss': 1.2928, 'learning_rate': 0.00019941736937228847, 'epoch': 0.38}
{'loss': 1.2496, 'learning_rate': 0.00019939121355643056, 'epoch': 0.39}
{'loss': 2.0442, 'learning_rate': 0.0001993644852501348, 'epoch': 0.39}
{'loss': 0.8194, 'learning_rate': 0.0001993371846073555, 'epoch': 0.4}
{'loss': 1.6131, 'learning_rate': 0.0001993093117853435, 'epoch': 0.4}
{'loss': 1.6513, 'learning_rate': 0.00019928086694464544, 'epoch': 0.4}
{'loss': 1.1592, 'learning_rate': 0.00019925185024910277, 'epoch': 0.41}
{'loss': 0.9797, 'learning_rate': 0.0001992222618658508, 'epoch': 0.41}
{'loss': 1.6668, 'learning_rate': 0.00019919210196531773, 'epoch': 0.42}
{'loss': 2.0909, 'learning_rate': 0.00019916137072122366, 'epoch': 0.42}
{'loss': 1.6464, 'learning_rate': 0.00019913006831057969, 'epoch': 0.43}
{'loss': 1.1222, 'learning_rate': 0.00019909819491368676, 'epoch': 0.43}
{'loss': 1.9971, 'learning_rate': 0.00019906575071413466, 'epoch': 0.44}
{'loss': 1.097, 'learning_rate': 0.00019903273589880107, 'epoch': 0.44}
