  0%|                                                                                                                                                                                   | 0/675 [00:00<?, ?it/s]/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:61: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1652: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                                                                                                                                                
{'loss': 4.5296, 'learning_rate': 9.523809523809523e-06, 'epoch': 0.0}
{'loss': 6.2309, 'learning_rate': 1.9047619047619046e-05, 'epoch': 0.01}
{'loss': 5.7306, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.01}
{'loss': 7.0222, 'learning_rate': 3.809523809523809e-05, 'epoch': 0.02}
{'loss': 5.3014, 'learning_rate': 4.761904761904762e-05, 'epoch': 0.02}
{'loss': 3.0746, 'learning_rate': 5.714285714285714e-05, 'epoch': 0.03}
{'loss': 1.8333, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.03}
{'loss': 1.3088, 'learning_rate': 7.619047619047618e-05, 'epoch': 0.04}
{'loss': 1.5011, 'learning_rate': 8.571428571428571e-05, 'epoch': 0.04}
{'loss': 0.8415, 'learning_rate': 9.523809523809524e-05, 'epoch': 0.04}
{'loss': 1.4939, 'learning_rate': 0.00010476190476190477, 'epoch': 0.05}
{'loss': 1.8569, 'learning_rate': 0.00011428571428571428, 'epoch': 0.05}
{'loss': 1.6987, 'learning_rate': 0.0001238095238095238, 'epoch': 0.06}
{'loss': 1.9209, 'learning_rate': 0.00013333333333333334, 'epoch': 0.06}
{'loss': 1.6824, 'learning_rate': 0.00014285714285714287, 'epoch': 0.07}
{'loss': 1.4283, 'learning_rate': 0.00015238095238095237, 'epoch': 0.07}
{'loss': 1.632, 'learning_rate': 0.00016190476190476192, 'epoch': 0.08}
{'loss': 1.7335, 'learning_rate': 0.00017142857142857143, 'epoch': 0.08}
{'loss': 1.3475, 'learning_rate': 0.00018095238095238095, 'epoch': 0.08}
{'loss': 1.6969, 'learning_rate': 0.00019047619047619048, 'epoch': 0.09}
{'loss': 0.9353, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.3092, 'learning_rate': 0.00019999884624547333, 'epoch': 0.1}
{'loss': 1.6552, 'learning_rate': 0.00019999538500851635, 'epoch': 0.1}
{'loss': 1.2748, 'learning_rate': 0.00019998961636899734, 'epoch': 0.11}
{'loss': 1.2118, 'learning_rate': 0.00019998154046002822, 'epoch': 0.11}
{'loss': 1.6411, 'learning_rate': 0.00019997115746796132, 'epoch': 0.12}
{'loss': 1.1314, 'learning_rate': 0.00019995846763238512, 'epoch': 0.12}
{'loss': 1.4769, 'learning_rate': 0.00019994347124611874, 'epoch': 0.12}
{'loss': 1.5065, 'learning_rate': 0.00019992616865520515, 'epoch': 0.13}
{'loss': 1.6338, 'learning_rate': 0.00019990656025890315, 'epoch': 0.13}
{'loss': 1.0738, 'learning_rate': 0.00019988464650967834, 'epoch': 0.14}
{'loss': 1.3332, 'learning_rate': 0.0001998604279131924, 'epoch': 0.14}
{'loss': 1.8474, 'learning_rate': 0.00019983390502829166, 'epoch': 0.15}
{'loss': 1.3895, 'learning_rate': 0.00019980507846699413, 'epoch': 0.15}
{'loss': 1.1506, 'learning_rate': 0.00019977394889447524, 'epoch': 0.16}
{'loss': 2.1133, 'learning_rate': 0.00019974051702905277, 'epoch': 0.16}
{'loss': 1.7613, 'learning_rate': 0.00019970478364217, 'epoch': 0.16}
{'loss': 1.0607, 'learning_rate': 0.00019966674955837808, 'epoch': 0.17}
{'loss': 1.1761, 'learning_rate': 0.00019962641565531692, 'epoch': 0.17}
{'loss': 0.8337, 'learning_rate': 0.00019958378286369502, 'epoch': 0.18}
{'loss': 0.8005, 'learning_rate': 0.00019953885216726788, 'epoch': 0.18}
{'loss': 1.4302, 'learning_rate': 0.0001994916246028154, 'epoch': 0.19}
{'loss': 1.9943, 'learning_rate': 0.0001994421012601179, 'epoch': 0.19}
{'loss': 1.3809, 'learning_rate': 0.00019939028328193095, 'epoch': 0.2}
{'loss': 1.0576, 'learning_rate': 0.00019933617186395917, 'epoch': 0.2}
{'loss': 1.6328, 'learning_rate': 0.00019927976825482842, 'epoch': 0.2}
{'loss': 1.1662, 'learning_rate': 0.000199221073756057, 'epoch': 0.21}
{'loss': 1.1223, 'learning_rate': 0.00019916008972202585, 'epoch': 0.21}
{'loss': 1.2795, 'learning_rate': 0.0001990968175599471, 'epoch': 0.22}
{'loss': 0.8374, 'learning_rate': 0.0001990312587298316, 'epoch': 0.22}
{'loss': 0.9009, 'learning_rate': 0.00019896341474445525, 'epoch': 0.23}
{'loss': 1.3692, 'learning_rate': 0.0001988932871693242, 'epoch': 0.23}
{'loss': 1.5623, 'learning_rate': 0.00019882087762263854, 'epoch': 0.24}
{'loss': 1.4592, 'learning_rate': 0.00019874618777525517, 'epoch': 0.24}
{'loss': 1.6466, 'learning_rate': 0.00019866921935064906, 'epoch': 0.24}
{'loss': 0.8752, 'learning_rate': 0.0001985899741248736, 'epoch': 0.25}
{'loss': 0.4248, 'learning_rate': 0.0001985084539265195, 'epoch': 0.25}
{'loss': 1.3598, 'learning_rate': 0.00019842466063667275, 'epoch': 0.26}
{'loss': 1.1202, 'learning_rate': 0.0001983385961888711, 'epoch': 0.26}
{'loss': 1.3078, 'learning_rate': 0.00019825026256905948, 'epoch': 0.27}
{'loss': 1.6345, 'learning_rate': 0.00019815966181554412, 'epoch': 0.27}
{'loss': 2.4129, 'learning_rate': 0.00019806679601894566, 'epoch': 0.28}
{'loss': 1.8418, 'learning_rate': 0.00019797166732215076, 'epoch': 0.28}
{'loss': 1.422, 'learning_rate': 0.0001978742779202627, 'epoch': 0.28}
{'loss': 1.4806, 'learning_rate': 0.0001977746300605507, 'epoch': 0.29}
{'loss': 1.3084, 'learning_rate': 0.00019767272604239824, 'epoch': 0.29}
{'loss': 1.2491, 'learning_rate': 0.00019756856821724966, 'epoch': 0.3}
{'loss': 1.1655, 'learning_rate': 0.0001974621589885563, 'epoch': 0.3}
{'loss': 1.9617, 'learning_rate': 0.00019735350081172067, 'epoch': 0.31}
{'loss': 1.0654, 'learning_rate': 0.0001972425961940401, 'epoch': 0.31}
{'loss': 0.8498, 'learning_rate': 0.00019712944769464862, 'epoch': 0.32}
{'loss': 1.0691, 'learning_rate': 0.00019701405792445814, 'epoch': 0.32}
{'loss': 1.2476, 'learning_rate': 0.00019689642954609808, 'epoch': 0.32}
{'loss': 1.1189, 'learning_rate': 0.00019677656527385384, 'epoch': 0.33}
{'loss': 1.0433, 'learning_rate': 0.0001966544678736044, 'epoch': 0.33}
{'loss': 1.6029, 'learning_rate': 0.00019653014016275837, 'epoch': 0.34}
{'loss': 1.3368, 'learning_rate': 0.00019640358501018886, 'epoch': 0.34}
{'loss': 1.6064, 'learning_rate': 0.0001962748053361675, 'epoch': 0.35}
{'loss': 0.9849, 'learning_rate': 0.00019614380411229693, 'epoch': 0.35}
{'loss': 0.799, 'learning_rate': 0.00019601058436144225, 'epoch': 0.36}
{'loss': 1.8316, 'learning_rate': 0.00019587514915766124, 'epoch': 0.36}
{'loss': 0.6691, 'learning_rate': 0.00019573750162613353, 'epoch': 0.36}
{'loss': 1.1356, 'learning_rate': 0.00019559764494308837, 'epoch': 0.37}
{'loss': 1.2975, 'learning_rate': 0.00019545558233573134, 'epoch': 0.37}
{'loss': 1.3087, 'learning_rate': 0.00019531131708217005, 'epoch': 0.38}
{'loss': 1.0947, 'learning_rate': 0.00019516485251133822, 'epoch': 0.38}
{'loss': 1.133, 'learning_rate': 0.00019501619200291908, 'epoch': 0.39}
{'loss': 1.6934, 'learning_rate': 0.00019486533898726736, 'epoch': 0.39}
{'loss': 0.8853, 'learning_rate': 0.00019471229694533002, 'epoch': 0.4}
{'loss': 1.3856, 'learning_rate': 0.000194557069408566, 'epoch': 0.4}
{'loss': 1.5575, 'learning_rate': 0.0001943996599588649, 'epoch': 0.4}
{'loss': 1.1076, 'learning_rate': 0.00019424007222846386, 'epoch': 0.41}
{'loss': 0.9927, 'learning_rate': 0.0001940783098998643, 'epoch': 0.41}
{'loss': 1.549, 'learning_rate': 0.00019391437670574657, 'epoch': 0.42}
{'loss': 1.8627, 'learning_rate': 0.00019374827642888398, 'epoch': 0.42}
{'loss': 1.8078, 'learning_rate': 0.00019358001290205543, 'epoch': 0.43}
{'loss': 1.0603, 'learning_rate': 0.00019340959000795706, 'epoch': 0.43}
{'loss': 1.9878, 'learning_rate': 0.00019323701167911259, 'epoch': 0.44}
{'loss': 1.0433, 'learning_rate': 0.00019306228189778254, 'epoch': 0.44}
