  0%|                                                                                                                                                                                                                                                                               | 0/675 [00:00<?, ?it/s]/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1652: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                                                                                                                                                                                                                                            
{'loss': 1.5292, 'learning_rate': 9.523809523809523e-06, 'epoch': 0.0}
{'loss': 1.5421, 'learning_rate': 1.9047619047619046e-05, 'epoch': 0.01}
{'loss': 1.0962, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.01}
{'loss': 1.6217, 'learning_rate': 3.809523809523809e-05, 'epoch': 0.02}
{'loss': 1.2475, 'learning_rate': 4.761904761904762e-05, 'epoch': 0.02}
{'loss': 0.8958, 'learning_rate': 5.714285714285714e-05, 'epoch': 0.03}
{'loss': 0.1554, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.03}
{'loss': 0.2464, 'learning_rate': 7.619047619047618e-05, 'epoch': 0.04}
{'loss': 0.4321, 'learning_rate': 8.571428571428571e-05, 'epoch': 0.04}
{'loss': 0.032, 'learning_rate': 9.523809523809524e-05, 'epoch': 0.04}
{'loss': 0.2295, 'learning_rate': 0.00010476190476190477, 'epoch': 0.05}
{'loss': 0.145, 'learning_rate': 0.00011428571428571428, 'epoch': 0.05}
{'loss': 0.0889, 'learning_rate': 0.0001238095238095238, 'epoch': 0.06}
{'loss': 0.0568, 'learning_rate': 0.00013333333333333334, 'epoch': 0.06}
{'loss': 0.0183, 'learning_rate': 0.00014285714285714287, 'epoch': 0.07}
{'loss': 0.0081, 'learning_rate': 0.00015238095238095237, 'epoch': 0.07}
{'loss': 0.1045, 'learning_rate': 0.00016190476190476192, 'epoch': 0.08}
{'loss': 0.0021, 'learning_rate': 0.00017142857142857143, 'epoch': 0.08}
{'loss': 0.4705, 'learning_rate': 0.00018095238095238095, 'epoch': 0.08}
{'loss': 0.1454, 'learning_rate': 0.00019047619047619048, 'epoch': 0.09}
{'loss': 0.0255, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.1883, 'learning_rate': 0.00019999884624547333, 'epoch': 0.1}
{'loss': 0.0259, 'learning_rate': 0.00019999538500851635, 'epoch': 0.1}
{'loss': 0.1627, 'learning_rate': 0.00019998961636899734, 'epoch': 0.11}
{'loss': 0.0016, 'learning_rate': 0.00019998154046002822, 'epoch': 0.11}
{'loss': 0.0127, 'learning_rate': 0.00019997115746796132, 'epoch': 0.12}
{'loss': 0.0018, 'learning_rate': 0.00019995846763238512, 'epoch': 0.12}
{'loss': 0.0039, 'learning_rate': 0.00019994347124611874, 'epoch': 0.12}
{'loss': 0.2568, 'learning_rate': 0.00019992616865520515, 'epoch': 0.13}
{'loss': 0.0111, 'learning_rate': 0.00019990656025890315, 'epoch': 0.13}
{'loss': 0.0025, 'learning_rate': 0.00019988464650967834, 'epoch': 0.14}
{'loss': 0.0062, 'learning_rate': 0.0001998604279131924, 'epoch': 0.14}
{'loss': 0.0248, 'learning_rate': 0.00019983390502829166, 'epoch': 0.15}
{'loss': 0.0043, 'learning_rate': 0.00019980507846699413, 'epoch': 0.15}
{'loss': 0.0204, 'learning_rate': 0.00019977394889447524, 'epoch': 0.16}
{'loss': 0.0042, 'learning_rate': 0.00019974051702905277, 'epoch': 0.16}
{'loss': 0.0801, 'learning_rate': 0.00019970478364217, 'epoch': 0.16}
{'loss': 0.0009, 'learning_rate': 0.00019966674955837808, 'epoch': 0.17}
{'loss': 0.0011, 'learning_rate': 0.00019962641565531692, 'epoch': 0.17}
{'loss': 0.0024, 'learning_rate': 0.00019958378286369502, 'epoch': 0.18}
{'loss': 0.0001, 'learning_rate': 0.00019953885216726788, 'epoch': 0.18}
{'loss': 0.1602, 'learning_rate': 0.0001994916246028154, 'epoch': 0.19}
{'loss': 2.7246, 'learning_rate': 0.0001994421012601179, 'epoch': 0.19}
{'loss': 1.8587, 'learning_rate': 0.00019939028328193095, 'epoch': 0.2}
{'loss': 0.1095, 'learning_rate': 0.00019933617186395917, 'epoch': 0.2}
{'loss': 0.256, 'learning_rate': 0.00019927976825482842, 'epoch': 0.2}
{'loss': 0.4921, 'learning_rate': 0.000199221073756057, 'epoch': 0.21}
{'loss': 1.5182, 'learning_rate': 0.00019916008972202585, 'epoch': 0.21}
{'loss': 0.2447, 'learning_rate': 0.0001990968175599471, 'epoch': 0.22}
{'loss': 0.2236, 'learning_rate': 0.0001990312587298316, 'epoch': 0.22}
{'loss': 0.2652, 'learning_rate': 0.00019896341474445525, 'epoch': 0.23}
{'loss': 0.1537, 'learning_rate': 0.0001988932871693242, 'epoch': 0.23}
{'loss': 0.1742, 'learning_rate': 0.00019882087762263854, 'epoch': 0.24}
{'loss': 0.393, 'learning_rate': 0.00019874618777525517, 'epoch': 0.24}
{'loss': 0.4461, 'learning_rate': 0.00019866921935064906, 'epoch': 0.24}
{'loss': 0.2621, 'learning_rate': 0.0001985899741248736, 'epoch': 0.25}
{'loss': 0.0146, 'learning_rate': 0.0001985084539265195, 'epoch': 0.25}
{'loss': 0.4421, 'learning_rate': 0.00019842466063667275, 'epoch': 0.26}
{'loss': 0.3057, 'learning_rate': 0.0001983385961888711, 'epoch': 0.26}
{'loss': 0.1227, 'learning_rate': 0.00019825026256905948, 'epoch': 0.27}
{'loss': 0.0778, 'learning_rate': 0.00019815966181554412, 'epoch': 0.27}
{'loss': 0.4507, 'learning_rate': 0.00019806679601894566, 'epoch': 0.28}
{'loss': 0.732, 'learning_rate': 0.00019797166732215076, 'epoch': 0.28}
{'loss': 0.2788, 'learning_rate': 0.0001978742779202627, 'epoch': 0.28}
