  0%|                                                                                                                                                                                 | 0/1350 [00:00<?, ?it/s]/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:61: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1652: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                                                                                                                                               
{'loss': 5.1299, 'learning_rate': 4.8780487804878055e-06, 'epoch': 0.0}
{'loss': 4.4939, 'learning_rate': 9.756097560975611e-06, 'epoch': 0.0}
{'loss': 7.1476, 'learning_rate': 1.4634146341463415e-05, 'epoch': 0.01}
{'loss': 6.2238, 'learning_rate': 1.9512195121951222e-05, 'epoch': 0.01}
{'loss': 5.2069, 'learning_rate': 2.4390243902439026e-05, 'epoch': 0.01}
{'loss': 5.5546, 'learning_rate': 2.926829268292683e-05, 'epoch': 0.01}
{'loss': 8.2828, 'learning_rate': 3.414634146341464e-05, 'epoch': 0.02}
{'loss': 4.0197, 'learning_rate': 3.9024390243902444e-05, 'epoch': 0.02}
{'loss': 2.8975, 'learning_rate': 4.390243902439025e-05, 'epoch': 0.02}
{'loss': 3.2001, 'learning_rate': 4.878048780487805e-05, 'epoch': 0.02}
{'loss': 2.7348, 'learning_rate': 5.365853658536586e-05, 'epoch': 0.02}
{'loss': 2.2281, 'learning_rate': 5.853658536585366e-05, 'epoch': 0.03}
{'loss': 1.6931, 'learning_rate': 6.341463414634146e-05, 'epoch': 0.03}
{'loss': 1.187, 'learning_rate': 6.829268292682928e-05, 'epoch': 0.03}
{'loss': 1.4283, 'learning_rate': 7.317073170731707e-05, 'epoch': 0.03}
{'loss': 0.9001, 'learning_rate': 7.804878048780489e-05, 'epoch': 0.04}
{'loss': 1.8103, 'learning_rate': 8.292682926829268e-05, 'epoch': 0.04}
{'loss': 1.5564, 'learning_rate': 8.78048780487805e-05, 'epoch': 0.04}
{'loss': 0.7998, 'learning_rate': 9.26829268292683e-05, 'epoch': 0.04}
{'loss': 1.4406, 'learning_rate': 9.75609756097561e-05, 'epoch': 0.04}
{'loss': 1.5624, 'learning_rate': 0.0001024390243902439, 'epoch': 0.05}
{'loss': 1.068, 'learning_rate': 0.00010731707317073172, 'epoch': 0.05}
{'loss': 0.8888, 'learning_rate': 0.00011219512195121953, 'epoch': 0.05}
{'loss': 2.4582, 'learning_rate': 0.00011707317073170732, 'epoch': 0.05}
{'loss': 2.3609, 'learning_rate': 0.00012195121951219512, 'epoch': 0.06}
{'loss': 1.3365, 'learning_rate': 0.00012682926829268293, 'epoch': 0.06}
{'loss': 1.2661, 'learning_rate': 0.00013170731707317076, 'epoch': 0.06}
{'loss': 1.9627, 'learning_rate': 0.00013658536585365856, 'epoch': 0.06}
{'loss': 2.3397, 'learning_rate': 0.00014146341463414634, 'epoch': 0.06}
{'loss': 1.0753, 'learning_rate': 0.00014634146341463414, 'epoch': 0.07}
{'loss': 1.3846, 'learning_rate': 0.00015121951219512197, 'epoch': 0.07}
{'loss': 1.0787, 'learning_rate': 0.00015609756097560978, 'epoch': 0.07}
{'loss': 1.6576, 'learning_rate': 0.00016097560975609758, 'epoch': 0.07}
{'loss': 1.2858, 'learning_rate': 0.00016585365853658536, 'epoch': 0.08}
{'loss': 0.9392, 'learning_rate': 0.0001707317073170732, 'epoch': 0.08}
{'loss': 1.618, 'learning_rate': 0.000175609756097561, 'epoch': 0.08}
{'loss': 0.9813, 'learning_rate': 0.0001804878048780488, 'epoch': 0.08}
{'loss': 1.4716, 'learning_rate': 0.0001853658536585366, 'epoch': 0.08}
{'loss': 2.1923, 'learning_rate': 0.0001902439024390244, 'epoch': 0.09}
{'loss': 1.6922, 'learning_rate': 0.0001951219512195122, 'epoch': 0.09}
{'loss': 1.206, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.2436, 'learning_rate': 0.0001999997120014852, 'epoch': 0.09}
{'loss': 1.8208, 'learning_rate': 0.00019999884800759956, 'epoch': 0.1}
{'loss': 1.7747, 'learning_rate': 0.00019999740802331974, 'epoch': 0.1}
{'loss': 1.1682, 'learning_rate': 0.00019999539205693996, 'epoch': 0.1}
{'loss': 2.1804, 'learning_rate': 0.00019999280012007213, 'epoch': 0.1}
{'loss': 0.7841, 'learning_rate': 0.00019998963222764575, 'epoch': 0.1}
{'loss': 1.7404, 'learning_rate': 0.00019998588839790777, 'epoch': 0.11}
{'loss': 0.695, 'learning_rate': 0.00019998156865242255, 'epoch': 0.11}
{'loss': 1.7073, 'learning_rate': 0.0001999766730160717, 'epoch': 0.11}
{'loss': 2.0582, 'learning_rate': 0.00019997120151705393, 'epoch': 0.11}
{'loss': 1.922, 'learning_rate': 0.0001999651541868849, 'epoch': 0.12}
{'loss': 0.9922, 'learning_rate': 0.00019995853106039705, 'epoch': 0.12}
{'loss': 0.8435, 'learning_rate': 0.0001999513321757394, 'epoch': 0.12}
{'loss': 1.0352, 'learning_rate': 0.00019994355757437738, 'epoch': 0.12}
{'loss': 2.7548, 'learning_rate': 0.00019993520730109235, 'epoch': 0.12}
{'loss': 1.7173, 'learning_rate': 0.0001999262814039817, 'epoch': 0.13}
{'loss': 1.5668, 'learning_rate': 0.0001999167799344583, 'epoch': 0.13}
{'loss': 1.5565, 'learning_rate': 0.00019990670294725037, 'epoch': 0.13}
{'loss': 1.9648, 'learning_rate': 0.000199896050500401, 'epoch': 0.13}
{'loss': 0.8659, 'learning_rate': 0.00019988482265526804, 'epoch': 0.14}
{'loss': 1.2768, 'learning_rate': 0.00019987301947652352, 'epoch': 0.14}
{'loss': 0.6989, 'learning_rate': 0.00019986064103215339, 'epoch': 0.14}
{'loss': 1.8177, 'learning_rate': 0.00019984768739345708, 'epoch': 0.14}
{'loss': 1.4879, 'learning_rate': 0.0001998341586350472, 'epoch': 0.14}
{'loss': 1.8419, 'learning_rate': 0.00019982005483484906, 'epoch': 0.15}
{'loss': 1.4852, 'learning_rate': 0.00019980537607410006, 'epoch': 0.15}
{'loss': 1.548, 'learning_rate': 0.0001997901224373494, 'epoch': 0.15}
{'loss': 1.2059, 'learning_rate': 0.0001997742940124576, 'epoch': 0.15}
{'loss': 1.2576, 'learning_rate': 0.00019975789089059597, 'epoch': 0.16}
{'loss': 1.6702, 'learning_rate': 0.00019974091316624597, 'epoch': 0.16}
{'loss': 2.9248, 'learning_rate': 0.00019972336093719876, 'epoch': 0.16}
{'loss': 1.4414, 'learning_rate': 0.00019970523430455468, 'epoch': 0.16}
{'loss': 2.5207, 'learning_rate': 0.00019968653337272261, 'epoch': 0.16}
{'loss': 2.1162, 'learning_rate': 0.00019966725824941932, 'epoch': 0.17}
{'loss': 1.0396, 'learning_rate': 0.000199647409045669, 'epoch': 0.17}
{'loss': 1.3281, 'learning_rate': 0.00019962698587580244, 'epoch': 0.17}
{'loss': 1.0326, 'learning_rate': 0.0001996059888574565, 'epoch': 0.17}
{'loss': 0.6897, 'learning_rate': 0.0001995844181115734, 'epoch': 0.18}
{'loss': 1.6292, 'learning_rate': 0.00019956227376239995, 'epoch': 0.18}
{'loss': 0.5396, 'learning_rate': 0.00019953955593748698, 'epoch': 0.18}
{'loss': 1.1055, 'learning_rate': 0.00019951626476768846, 'epoch': 0.18}
{'loss': 1.7597, 'learning_rate': 0.0001994924003871609, 'epoch': 0.18}
{'loss': 1.2904, 'learning_rate': 0.00019946796293336235, 'epoch': 0.19}
{'loss': 2.5359, 'learning_rate': 0.00019944295254705185, 'epoch': 0.19}
{'loss': 2.2154, 'learning_rate': 0.00019941736937228847, 'epoch': 0.19}
{'loss': 0.9116, 'learning_rate': 0.00019939121355643056, 'epoch': 0.19}
{'loss': 2.4516, 'learning_rate': 0.0001993644852501348, 'epoch': 0.2}
{'loss': 0.8513, 'learning_rate': 0.0001993371846073555, 'epoch': 0.2}
{'loss': 2.3235, 'learning_rate': 0.0001993093117853435, 'epoch': 0.2}
{'loss': 0.9687, 'learning_rate': 0.00019928086694464544, 'epoch': 0.2}
{'loss': 2.1359, 'learning_rate': 0.00019925185024910277, 'epoch': 0.2}
{'loss': 1.5771, 'learning_rate': 0.0001992222618658508, 'epoch': 0.21}
{'loss': 1.0287, 'learning_rate': 0.00019919210196531773, 'epoch': 0.21}
{'loss': 1.1235, 'learning_rate': 0.00019916137072122366, 'epoch': 0.21}
{'loss': 1.3531, 'learning_rate': 0.00019913006831057969, 'epoch': 0.21}
{'loss': 1.6679, 'learning_rate': 0.00019909819491368676, 'epoch': 0.22}
{'loss': 1.1557, 'learning_rate': 0.00019906575071413466, 'epoch': 0.22}
{'loss': 0.8909, 'learning_rate': 0.00019903273589880107, 'epoch': 0.22}
