  0%|                                                                                                                                                                                                                                                                  | 0/2700 [00:00<?, ?it/s]/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:61: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1652: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                                                                                                                                                                                                                                
{'loss': 5.1299, 'learning_rate': 2.469135802469136e-06, 'epoch': 0.0}
{'loss': 4.4939, 'learning_rate': 4.938271604938272e-06, 'epoch': 0.0}
{'loss': 7.1844, 'learning_rate': 7.4074074074074075e-06, 'epoch': 0.01}
{'loss': 6.3679, 'learning_rate': 9.876543209876543e-06, 'epoch': 0.01}
{'loss': 5.5673, 'learning_rate': 1.2345679012345678e-05, 'epoch': 0.01}
{'loss': 6.4661, 'learning_rate': 1.4814814814814815e-05, 'epoch': 0.01}
{'loss': 9.0436, 'learning_rate': 1.728395061728395e-05, 'epoch': 0.02}
{'loss': 5.2383, 'learning_rate': 1.9753086419753087e-05, 'epoch': 0.02}
{'loss': 4.7973, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.02}
{'loss': 4.4183, 'learning_rate': 2.4691358024691357e-05, 'epoch': 0.02}
{'loss': 2.9388, 'learning_rate': 2.7160493827160493e-05, 'epoch': 0.02}
{'loss': 2.5437, 'learning_rate': 2.962962962962963e-05, 'epoch': 0.03}
{'loss': 2.2038, 'learning_rate': 3.209876543209876e-05, 'epoch': 0.03}
{'loss': 1.4545, 'learning_rate': 3.45679012345679e-05, 'epoch': 0.03}
{'loss': 1.5636, 'learning_rate': 3.7037037037037037e-05, 'epoch': 0.03}
{'loss': 1.1542, 'learning_rate': 3.950617283950617e-05, 'epoch': 0.04}
{'loss': 1.6667, 'learning_rate': 4.197530864197531e-05, 'epoch': 0.04}
{'loss': 1.9481, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.04}
{'loss': 0.6642, 'learning_rate': 4.691358024691358e-05, 'epoch': 0.04}
{'loss': 1.1872, 'learning_rate': 4.938271604938271e-05, 'epoch': 0.04}
{'loss': 1.8555, 'learning_rate': 5.185185185185185e-05, 'epoch': 0.05}
{'loss': 1.1191, 'learning_rate': 5.4320987654320986e-05, 'epoch': 0.05}
{'loss': 0.9632, 'learning_rate': 5.679012345679012e-05, 'epoch': 0.05}
{'loss': 2.5801, 'learning_rate': 5.925925925925926e-05, 'epoch': 0.05}
{'loss': 2.2296, 'learning_rate': 6.17283950617284e-05, 'epoch': 0.06}
{'loss': 1.3482, 'learning_rate': 6.419753086419753e-05, 'epoch': 0.06}
{'loss': 1.4048, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.06}
{'loss': 2.2006, 'learning_rate': 6.91358024691358e-05, 'epoch': 0.06}
{'loss': 2.4814, 'learning_rate': 7.160493827160494e-05, 'epoch': 0.06}
{'loss': 1.169, 'learning_rate': 7.407407407407407e-05, 'epoch': 0.07}
{'loss': 1.5912, 'learning_rate': 7.65432098765432e-05, 'epoch': 0.07}
{'loss': 1.1344, 'learning_rate': 7.901234567901235e-05, 'epoch': 0.07}
{'loss': 1.6906, 'learning_rate': 8.148148148148148e-05, 'epoch': 0.07}
{'loss': 1.2759, 'learning_rate': 8.395061728395062e-05, 'epoch': 0.08}
{'loss': 1.206, 'learning_rate': 8.641975308641975e-05, 'epoch': 0.08}
{'loss': 1.8666, 'learning_rate': 8.888888888888889e-05, 'epoch': 0.08}
{'loss': 1.1142, 'learning_rate': 9.135802469135802e-05, 'epoch': 0.08}
{'loss': 1.4191, 'learning_rate': 9.382716049382717e-05, 'epoch': 0.08}
{'loss': 1.9737, 'learning_rate': 9.62962962962963e-05, 'epoch': 0.09}
{'loss': 1.5812, 'learning_rate': 9.876543209876543e-05, 'epoch': 0.09}
{'loss': 1.0788, 'learning_rate': 0.00010123456790123458, 'epoch': 0.09}
{'loss': 1.2117, 'learning_rate': 0.0001037037037037037, 'epoch': 0.09}
{'loss': 1.6661, 'learning_rate': 0.00010617283950617284, 'epoch': 0.1}
{'loss': 1.8442, 'learning_rate': 0.00010864197530864197, 'epoch': 0.1}
{'loss': 1.1971, 'learning_rate': 0.00011111111111111112, 'epoch': 0.1}
{'loss': 2.2119, 'learning_rate': 0.00011358024691358025, 'epoch': 0.1}
{'loss': 0.7557, 'learning_rate': 0.00011604938271604939, 'epoch': 0.1}
{'loss': 1.6671, 'learning_rate': 0.00011851851851851852, 'epoch': 0.11}
{'loss': 0.5932, 'learning_rate': 0.00012098765432098766, 'epoch': 0.11}
{'loss': 1.3529, 'learning_rate': 0.0001234567901234568, 'epoch': 0.11}
{'loss': 1.7363, 'learning_rate': 0.00012592592592592592, 'epoch': 0.11}
{'loss': 1.9028, 'learning_rate': 0.00012839506172839505, 'epoch': 0.12}
{'loss': 0.9162, 'learning_rate': 0.0001308641975308642, 'epoch': 0.12}
{'loss': 1.1227, 'learning_rate': 0.00013333333333333334, 'epoch': 0.12}
{'loss': 1.0814, 'learning_rate': 0.00013580246913580247, 'epoch': 0.12}
{'loss': 2.4101, 'learning_rate': 0.0001382716049382716, 'epoch': 0.12}
{'loss': 1.5243, 'learning_rate': 0.00014074074074074076, 'epoch': 0.13}
{'loss': 1.5227, 'learning_rate': 0.00014320987654320989, 'epoch': 0.13}
{'loss': 1.4771, 'learning_rate': 0.00014567901234567902, 'epoch': 0.13}
{'loss': 2.0355, 'learning_rate': 0.00014814814814814815, 'epoch': 0.13}
{'loss': 1.0494, 'learning_rate': 0.0001506172839506173, 'epoch': 0.14}
{'loss': 1.3207, 'learning_rate': 0.0001530864197530864, 'epoch': 0.14}
{'loss': 0.7056, 'learning_rate': 0.00015555555555555556, 'epoch': 0.14}
{'loss': 1.6604, 'learning_rate': 0.0001580246913580247, 'epoch': 0.14}
{'loss': 1.4418, 'learning_rate': 0.00016049382716049385, 'epoch': 0.14}
{'loss': 1.6944, 'learning_rate': 0.00016296296296296295, 'epoch': 0.15}
{'loss': 1.2093, 'learning_rate': 0.0001654320987654321, 'epoch': 0.15}
{'loss': 1.5723, 'learning_rate': 0.00016790123456790124, 'epoch': 0.15}
{'loss': 1.3184, 'learning_rate': 0.00017037037037037037, 'epoch': 0.15}
{'loss': 1.4305, 'learning_rate': 0.0001728395061728395, 'epoch': 0.16}
{'loss': 1.3653, 'learning_rate': 0.00017530864197530866, 'epoch': 0.16}
{'loss': 2.7894, 'learning_rate': 0.00017777777777777779, 'epoch': 0.16}
{'loss': 1.475, 'learning_rate': 0.00018024691358024692, 'epoch': 0.16}
{'loss': 1.924, 'learning_rate': 0.00018271604938271605, 'epoch': 0.16}
{'loss': 1.7244, 'learning_rate': 0.0001851851851851852, 'epoch': 0.17}
{'loss': 0.8569, 'learning_rate': 0.00018765432098765433, 'epoch': 0.17}
{'loss': 1.2187, 'learning_rate': 0.00019012345679012346, 'epoch': 0.17}
{'loss': 0.9284, 'learning_rate': 0.0001925925925925926, 'epoch': 0.17}
{'loss': 0.6696, 'learning_rate': 0.00019506172839506175, 'epoch': 0.18}
{'loss': 1.4408, 'learning_rate': 0.00019753086419753085, 'epoch': 0.18}
{'loss': 0.2784, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.2376, 'learning_rate': 0.00019999992805531743, 'epoch': 0.18}
{'loss': 1.6953, 'learning_rate': 0.0001999997122213732, 'epoch': 0.18}
{'loss': 1.2842, 'learning_rate': 0.00019999935249847796, 'epoch': 0.19}
{'loss': 2.2603, 'learning_rate': 0.0001999988488871492, 'epoch': 0.19}
{'loss': 1.996, 'learning_rate': 0.00019999820138811165, 'epoch': 0.19}
{'loss': 0.7449, 'learning_rate': 0.00019999741000229694, 'epoch': 0.19}
{'loss': 2.1304, 'learning_rate': 0.00019999647473084383, 'epoch': 0.2}
{'loss': 0.9899, 'learning_rate': 0.00019999539557509803, 'epoch': 0.2}
{'loss': 2.5667, 'learning_rate': 0.00019999417253661235, 'epoch': 0.2}
{'loss': 1.0915, 'learning_rate': 0.00019999280561714663, 'epoch': 0.2}
{'loss': 2.2191, 'learning_rate': 0.00019999129481866772, 'epoch': 0.2}
{'loss': 1.3833, 'learning_rate': 0.00019998964014334946, 'epoch': 0.21}
{'loss': 1.1696, 'learning_rate': 0.00019998784159357282, 'epoch': 0.21}
{'loss': 0.8157, 'learning_rate': 0.00019998589917192568, 'epoch': 0.21}
{'loss': 1.2264, 'learning_rate': 0.00019998381288120295, 'epoch': 0.21}
{'loss': 1.462, 'learning_rate': 0.0001999815827244066, 'epoch': 0.22}
{'loss': 1.1511, 'learning_rate': 0.00019997920870474566, 'epoch': 0.22}
