  0%|                                                                                                                                                                                                    | 0/1284 [00:00<?, ?it/s]/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:61: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
LlamaModel is using LlamaSdpaAttention, but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1652: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                                                                                                                                                                  
{'loss': 2.0187, 'learning_rate': 5.128205128205128e-06, 'epoch': 0.0}
{'loss': 2.3552, 'learning_rate': 1.0256410256410256e-05, 'epoch': 0.0}
{'loss': 1.394, 'learning_rate': 1.5384615384615387e-05, 'epoch': 0.01}
{'loss': 1.8692, 'learning_rate': 2.0512820512820512e-05, 'epoch': 0.01}
{'loss': 1.5578, 'learning_rate': 2.564102564102564e-05, 'epoch': 0.01}
{'loss': 1.3162, 'learning_rate': 3.0769230769230774e-05, 'epoch': 0.01}
{'loss': 0.7774, 'learning_rate': 3.58974358974359e-05, 'epoch': 0.02}
{'loss': 1.2748, 'learning_rate': 4.1025641025641023e-05, 'epoch': 0.02}
{'loss': 0.5694, 'learning_rate': 4.615384615384616e-05, 'epoch': 0.02}
{'loss': 0.554, 'learning_rate': 5.128205128205128e-05, 'epoch': 0.02}
{'loss': 0.68, 'learning_rate': 5.6410256410256414e-05, 'epoch': 0.03}
{'loss': 0.4452, 'learning_rate': 6.153846153846155e-05, 'epoch': 0.03}
{'loss': 0.2989, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.03}
{'loss': 0.2988, 'learning_rate': 7.17948717948718e-05, 'epoch': 0.03}
{'loss': 0.3731, 'learning_rate': 7.692307692307693e-05, 'epoch': 0.04}
{'loss': 0.3342, 'learning_rate': 8.205128205128205e-05, 'epoch': 0.04}
{'loss': 0.5439, 'learning_rate': 8.717948717948718e-05, 'epoch': 0.04}
{'loss': 0.2788, 'learning_rate': 9.230769230769232e-05, 'epoch': 0.04}
{'loss': 0.3202, 'learning_rate': 9.743589743589744e-05, 'epoch': 0.04}
{'loss': 0.4964, 'learning_rate': 0.00010256410256410256, 'epoch': 0.05}
{'loss': 0.2079, 'learning_rate': 0.0001076923076923077, 'epoch': 0.05}
{'loss': 0.3292, 'learning_rate': 0.00011282051282051283, 'epoch': 0.05}
{'loss': 0.2684, 'learning_rate': 0.00011794871794871796, 'epoch': 0.05}
{'loss': 0.367, 'learning_rate': 0.0001230769230769231, 'epoch': 0.06}
{'loss': 0.2826, 'learning_rate': 0.00012820512820512823, 'epoch': 0.06}
{'loss': 0.2436, 'learning_rate': 0.00013333333333333334, 'epoch': 0.06}
{'loss': 0.3372, 'learning_rate': 0.00013846153846153847, 'epoch': 0.06}
{'loss': 0.3026, 'learning_rate': 0.0001435897435897436, 'epoch': 0.07}
{'loss': 0.2343, 'learning_rate': 0.00014871794871794872, 'epoch': 0.07}
{'loss': 0.3149, 'learning_rate': 0.00015384615384615385, 'epoch': 0.07}
{'loss': 0.1361, 'learning_rate': 0.00015897435897435896, 'epoch': 0.07}
{'loss': 0.2367, 'learning_rate': 0.0001641025641025641, 'epoch': 0.07}
{'loss': 0.2614, 'learning_rate': 0.00016923076923076923, 'epoch': 0.08}
{'loss': 0.132, 'learning_rate': 0.00017435897435897436, 'epoch': 0.08}
{'loss': 0.6051, 'learning_rate': 0.0001794871794871795, 'epoch': 0.08}
{'loss': 0.3641, 'learning_rate': 0.00018461538461538463, 'epoch': 0.08}
{'loss': 0.1677, 'learning_rate': 0.00018974358974358974, 'epoch': 0.09}
{'loss': 0.3358, 'learning_rate': 0.00019487179487179487, 'epoch': 0.09}
{'loss': 0.235, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.7652, 'learning_rate': 0.0001999996816309684, 'epoch': 0.09}
{'loss': 0.3343, 'learning_rate': 0.00019999872652590078, 'epoch': 0.1}
{'loss': 0.3458, 'learning_rate': 0.00019999713469087867, 'epoch': 0.1}
{'loss': 0.2988, 'learning_rate': 0.00019999490613603784, 'epoch': 0.1}
{'loss': 0.3004, 'learning_rate': 0.0001999920408755684, 'epoch': 0.1}
{'loss': 0.8595, 'learning_rate': 0.00019998853892771453, 'epoch': 0.11}
{'loss': 0.2109, 'learning_rate': 0.00019998440031477447, 'epoch': 0.11}
{'loss': 0.2531, 'learning_rate': 0.0001999796250631003, 'epoch': 0.11}
{'loss': 0.2303, 'learning_rate': 0.00019997421320309795, 'epoch': 0.11}
{'loss': 0.5067, 'learning_rate': 0.00019996816476922677, 'epoch': 0.11}
{'loss': 0.2675, 'learning_rate': 0.0001999614797999994, 'epoch': 0.12}
{'loss': 0.2471, 'learning_rate': 0.00019995415833798158, 'epoch': 0.12}
{'loss': 0.1766, 'learning_rate': 0.0001999462004297919, 'epoch': 0.12}
{'loss': 0.3673, 'learning_rate': 0.00019993760612610134, 'epoch': 0.12}
{'loss': 0.2215, 'learning_rate': 0.00019992837548163316, 'epoch': 0.13}
{'loss': 0.3331, 'learning_rate': 0.00019991850855516233, 'epoch': 0.13}
{'loss': 0.1723, 'learning_rate': 0.00019990800540951534, 'epoch': 0.13}
{'loss': 0.1976, 'learning_rate': 0.00019989686611156972, 'epoch': 0.13}
{'loss': 0.2269, 'learning_rate': 0.00019988509073225362, 'epoch': 0.14}
{'loss': 0.0668, 'learning_rate': 0.00019987267934654538, 'epoch': 0.14}
{'loss': 0.1878, 'learning_rate': 0.000199859632033473, 'epoch': 0.14}
{'loss': 0.0804, 'learning_rate': 0.0001998459488761137, 'epoch': 0.14}
{'loss': 0.0967, 'learning_rate': 0.0001998316299615933, 'epoch': 0.14}
{'loss': 0.1608, 'learning_rate': 0.00019981667538108587, 'epoch': 0.15}
{'loss': 0.0658, 'learning_rate': 0.00019980108522981284, 'epoch': 0.15}
{'loss': 0.1009, 'learning_rate': 0.00019978485960704266, 'epoch': 0.15}
{'loss': 0.2375, 'learning_rate': 0.00019976799861609008, 'epoch': 0.15}
{'loss': 0.6125, 'learning_rate': 0.0001997505023643154, 'epoch': 0.16}
{'loss': 0.284, 'learning_rate': 0.00019973237096312393, 'epoch': 0.16}
{'loss': 0.7348, 'learning_rate': 0.00019971360452796522, 'epoch': 0.16}
{'loss': 0.1952, 'learning_rate': 0.00019969420317833227, 'epoch': 0.16}
{'loss': 0.2373, 'learning_rate': 0.0001996741670377609, 'epoch': 0.17}
{'loss': 0.1817, 'learning_rate': 0.0001996534962338288, 'epoch': 0.17}
{'loss': 0.1817, 'learning_rate': 0.00019963219089815488, 'epoch': 0.17}
{'loss': 0.2138, 'learning_rate': 0.0001996102511663983, 'epoch': 0.17}
{'loss': 0.201, 'learning_rate': 0.0001995876771782577, 'epoch': 0.18}
{'loss': 0.145, 'learning_rate': 0.00019956446907747026, 'epoch': 0.18}
{'loss': 0.2204, 'learning_rate': 0.00019954062701181078, 'epoch': 0.18}
{'loss': 0.2238, 'learning_rate': 0.00019951615113309075, 'epoch': 0.18}
{'loss': 0.2328, 'learning_rate': 0.00019949104159715743, 'epoch': 0.18}
{'loss': 0.0854, 'learning_rate': 0.0001994652985638928, 'epoch': 0.19}
{'loss': 0.2674, 'learning_rate': 0.00019943892219721253, 'epoch': 0.19}
{'loss': 0.1988, 'learning_rate': 0.00019941191266506497, 'epoch': 0.19}
{'loss': 0.2218, 'learning_rate': 0.00019938427013943015, 'epoch': 0.19}
{'loss': 0.0926, 'learning_rate': 0.0001993559947963185, 'epoch': 0.2}
{'loss': 0.0711, 'learning_rate': 0.00019932708681576992, 'epoch': 0.2}
{'loss': 0.1715, 'learning_rate': 0.0001992975463818525, 'epoch': 0.2}
{'loss': 0.1562, 'learning_rate': 0.00019926737368266144, 'epoch': 0.2}
{'loss': 0.1575, 'learning_rate': 0.00019923656891031782, 'epoch': 0.21}
{'loss': 0.0621, 'learning_rate': 0.00019920513226096733, 'epoch': 0.21}
{'loss': 0.1013, 'learning_rate': 0.00019917306393477907, 'epoch': 0.21}
{'loss': 0.1369, 'learning_rate': 0.00019914036413594432, 'epoch': 0.21}
{'loss': 0.3068, 'learning_rate': 0.00019910703307267512, 'epoch': 0.21}
{'loss': 0.0996, 'learning_rate': 0.00019907307095720303, 'epoch': 0.22}
{'loss': 0.5705, 'learning_rate': 0.00019903847800577777, 'epoch': 0.22}
{'loss': 0.1762, 'learning_rate': 0.00019900325443866583, 'epoch': 0.22}
{'loss': 0.085, 'learning_rate': 0.00019896740048014908, 'epoch': 0.22}
