  0%|                                                                                                                                                                                                    | 0/1284 [00:00<?, ?it/s]/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/torch/utils/checkpoint.py:61: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
LlamaModel is using LlamaSdpaAttention, but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
/data/aofei/conda/env/llava_v1.5/lib/python3.10/site-packages/deepspeed/runtime/zero/stage_1_and_2.py:1652: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:83.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                                                                                                                                                                                                                                  
{'loss': 1.8679, 'learning_rate': 5.128205128205128e-06, 'epoch': 0.0}
{'loss': 2.2361, 'learning_rate': 1.0256410256410256e-05, 'epoch': 0.0}
{'loss': 1.2877, 'learning_rate': 1.5384615384615387e-05, 'epoch': 0.01}
{'loss': 1.7714, 'learning_rate': 2.0512820512820512e-05, 'epoch': 0.01}
{'loss': 1.4436, 'learning_rate': 2.564102564102564e-05, 'epoch': 0.01}
{'loss': 1.1934, 'learning_rate': 3.0769230769230774e-05, 'epoch': 0.01}
{'loss': 0.6628, 'learning_rate': 3.58974358974359e-05, 'epoch': 0.02}
{'loss': 1.1215, 'learning_rate': 4.1025641025641023e-05, 'epoch': 0.02}
{'loss': 0.457, 'learning_rate': 4.615384615384616e-05, 'epoch': 0.02}
{'loss': 0.4477, 'learning_rate': 5.128205128205128e-05, 'epoch': 0.02}
{'loss': 0.5391, 'learning_rate': 5.6410256410256414e-05, 'epoch': 0.03}
{'loss': 0.3439, 'learning_rate': 6.153846153846155e-05, 'epoch': 0.03}
{'loss': 0.1708, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.03}
{'loss': 0.1629, 'learning_rate': 7.17948717948718e-05, 'epoch': 0.03}
{'loss': 0.19, 'learning_rate': 7.692307692307693e-05, 'epoch': 0.04}
{'loss': 0.1804, 'learning_rate': 8.205128205128205e-05, 'epoch': 0.04}
{'loss': 0.3525, 'learning_rate': 8.717948717948718e-05, 'epoch': 0.04}
{'loss': 0.1411, 'learning_rate': 9.230769230769232e-05, 'epoch': 0.04}
{'loss': 0.1624, 'learning_rate': 9.743589743589744e-05, 'epoch': 0.04}
{'loss': 0.3336, 'learning_rate': 0.00010256410256410256, 'epoch': 0.05}
{'loss': 0.159, 'learning_rate': 0.0001076923076923077, 'epoch': 0.05}
{'loss': 0.178, 'learning_rate': 0.00011282051282051283, 'epoch': 0.05}
{'loss': 0.1397, 'learning_rate': 0.00011794871794871796, 'epoch': 0.05}
{'loss': 0.2068, 'learning_rate': 0.0001230769230769231, 'epoch': 0.06}
{'loss': 0.1319, 'learning_rate': 0.00012820512820512823, 'epoch': 0.06}
{'loss': 0.1328, 'learning_rate': 0.00013333333333333334, 'epoch': 0.06}
{'loss': 0.2133, 'learning_rate': 0.00013846153846153847, 'epoch': 0.06}
{'loss': 0.158, 'learning_rate': 0.0001435897435897436, 'epoch': 0.07}
{'loss': 0.1325, 'learning_rate': 0.00014871794871794872, 'epoch': 0.07}
{'loss': 0.1679, 'learning_rate': 0.00015384615384615385, 'epoch': 0.07}
{'loss': 0.0732, 'learning_rate': 0.00015897435897435896, 'epoch': 0.07}
{'loss': 0.1331, 'learning_rate': 0.0001641025641025641, 'epoch': 0.07}
{'loss': 0.1395, 'learning_rate': 0.00016923076923076923, 'epoch': 0.08}
{'loss': 0.1048, 'learning_rate': 0.00017435897435897436, 'epoch': 0.08}
{'loss': 0.5072, 'learning_rate': 0.0001794871794871795, 'epoch': 0.08}
{'loss': 0.1836, 'learning_rate': 0.00018461538461538463, 'epoch': 0.08}
{'loss': 0.3166, 'learning_rate': 0.00018974358974358974, 'epoch': 0.09}
{'loss': 0.2574, 'learning_rate': 0.00019487179487179487, 'epoch': 0.09}
{'loss': 0.1372, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 0.1489, 'learning_rate': 0.0001999996816309684, 'epoch': 0.09}
{'loss': 0.1881, 'learning_rate': 0.00019999872652590078, 'epoch': 0.1}
{'loss': 0.5433, 'learning_rate': 0.00019999713469087867, 'epoch': 0.1}
{'loss': 0.157, 'learning_rate': 0.00019999490613603784, 'epoch': 0.1}
{'loss': 0.1693, 'learning_rate': 0.0001999920408755684, 'epoch': 0.1}
{'loss': 0.4828, 'learning_rate': 0.00019998853892771453, 'epoch': 0.11}
{'loss': 0.1512, 'learning_rate': 0.00019998440031477447, 'epoch': 0.11}
{'loss': 0.1508, 'learning_rate': 0.0001999796250631003, 'epoch': 0.11}
{'loss': 0.1662, 'learning_rate': 0.00019997421320309795, 'epoch': 0.11}
{'loss': 0.2047, 'learning_rate': 0.00019996816476922677, 'epoch': 0.11}
{'loss': 0.2573, 'learning_rate': 0.0001999614797999994, 'epoch': 0.12}
{'loss': 0.1324, 'learning_rate': 0.00019995415833798158, 'epoch': 0.12}
{'loss': 0.1258, 'learning_rate': 0.0001999462004297919, 'epoch': 0.12}
{'loss': 0.2084, 'learning_rate': 0.00019993760612610134, 'epoch': 0.12}
{'loss': 0.1358, 'learning_rate': 0.00019992837548163316, 'epoch': 0.13}
{'loss': 0.1855, 'learning_rate': 0.00019991850855516233, 'epoch': 0.13}
{'loss': 0.1632, 'learning_rate': 0.00019990800540951534, 'epoch': 0.13}
{'loss': 0.1382, 'learning_rate': 0.00019989686611156972, 'epoch': 0.13}
{'loss': 1.1475, 'learning_rate': 0.00019988509073225362, 'epoch': 0.14}
{'loss': 0.0869, 'learning_rate': 0.00019987267934654538, 'epoch': 0.14}
{'loss': 0.1508, 'learning_rate': 0.000199859632033473, 'epoch': 0.14}
{'loss': 0.1498, 'learning_rate': 0.0001998459488761137, 'epoch': 0.14}
{'loss': 0.1362, 'learning_rate': 0.0001998316299615933, 'epoch': 0.14}
{'loss': 0.3085, 'learning_rate': 0.00019981667538108587, 'epoch': 0.15}
{'loss': 0.1414, 'learning_rate': 0.00019980108522981284, 'epoch': 0.15}
{'loss': 0.1127, 'learning_rate': 0.00019978485960704266, 'epoch': 0.15}
{'loss': 0.1495, 'learning_rate': 0.00019976799861609008, 'epoch': 0.15}
{'loss': 0.199, 'learning_rate': 0.0001997505023643154, 'epoch': 0.16}
{'loss': 0.1859, 'learning_rate': 0.00019973237096312393, 'epoch': 0.16}
{'loss': 0.4111, 'learning_rate': 0.00019971360452796522, 'epoch': 0.16}
{'loss': 0.1065, 'learning_rate': 0.00019969420317833227, 'epoch': 0.16}
{'loss': 0.1799, 'learning_rate': 0.0001996741670377609, 'epoch': 0.17}
{'loss': 0.1773, 'learning_rate': 0.0001996534962338288, 'epoch': 0.17}
{'loss': 0.1612, 'learning_rate': 0.00019963219089815488, 'epoch': 0.17}
{'loss': 0.1158, 'learning_rate': 0.0001996102511663983, 'epoch': 0.17}
{'loss': 0.0952, 'learning_rate': 0.0001995876771782577, 'epoch': 0.18}
{'loss': 0.1438, 'learning_rate': 0.00019956446907747026, 'epoch': 0.18}
{'loss': 0.1414, 'learning_rate': 0.00019954062701181078, 'epoch': 0.18}
{'loss': 0.144, 'learning_rate': 0.00019951615113309075, 'epoch': 0.18}
{'loss': 0.1521, 'learning_rate': 0.00019949104159715743, 'epoch': 0.18}
{'loss': 0.2912, 'learning_rate': 0.0001994652985638928, 'epoch': 0.19}
{'loss': 0.1609, 'learning_rate': 0.00019943892219721253, 'epoch': 0.19}
{'loss': 0.1358, 'learning_rate': 0.00019941191266506497, 'epoch': 0.19}
{'loss': 0.1249, 'learning_rate': 0.00019938427013943015, 'epoch': 0.19}
{'loss': 0.0755, 'learning_rate': 0.0001993559947963185, 'epoch': 0.2}
{'loss': 0.1026, 'learning_rate': 0.00019932708681576992, 'epoch': 0.2}
{'loss': 0.1478, 'learning_rate': 0.0001992975463818525, 'epoch': 0.2}
{'loss': 0.1369, 'learning_rate': 0.00019926737368266144, 'epoch': 0.2}
{'loss': 0.1322, 'learning_rate': 0.00019923656891031782, 'epoch': 0.21}
{'loss': 0.0792, 'learning_rate': 0.00019920513226096733, 'epoch': 0.21}
{'loss': 0.1329, 'learning_rate': 0.00019917306393477907, 'epoch': 0.21}
{'loss': 0.1292, 'learning_rate': 0.00019914036413594432, 'epoch': 0.21}
{'loss': 0.1489, 'learning_rate': 0.00019910703307267512, 'epoch': 0.21}
{'loss': 0.0609, 'learning_rate': 0.00019907307095720303, 'epoch': 0.22}
{'loss': 0.1787, 'learning_rate': 0.00019903847800577777, 'epoch': 0.22}
{'loss': 0.1104, 'learning_rate': 0.00019900325443866583, 'epoch': 0.22}
{'loss': 0.0739, 'learning_rate': 0.00019896740048014908, 'epoch': 0.22}
